,version,rsi,is_quarter_mode,is_ma_cut,start,end,duration,initial_capital,cash,balance_status,profit,profit_ratio,max_drawdown,total_profit,total_loss,profit_loss_ratio,win_count,lose_count,win_rate,exhaust_count,quarter_count,ma_cut_count,avg_daily_profit_ratio,avg_monthly_profit_ratio,avg_annual_profit_ratio
0,v1,100,False,False,2009-07-16,2024-02-26,3678,100000,301033.1586891456,536407.4279419227,436407.4279419227,436.40742794192266,47.08277001666476,780132.074218577,0.0,inf,55,0,100.0,10,0,0,0.11865346056060976,2.442283729872551,29.30740475847061
1,v2.2,100,False,False,2009-07-16,2024-02-26,3678,100000,203990.73060451224,426425.4804481097,326425.4804481097,326.4254804481097,42.687548950190354,687701.7658481712,-231386.38233499505,2.972092648272338,577,94,85.99105812220567,7,0,0,0.08875081034478241,1.8267875129301048,21.921450155161256
2,slowly,100,False,False,2009-07-16,2024-02-26,3678,100000,218568.33679361493,394189.2287747398,294189.2287747398,294.1892287747398,21.990358340924526,380969.0725794943,-36129.99526937667,10.544398628869983,432,26,94.32314410480349,0,0,0,0.07998619596920603,1.6463825336994908,19.75659040439389
3,v1,95,False,False,2009-07-16,2024-02-26,3678,100000,301033.1586891456,536407.4279419227,436407.4279419227,436.40742794192266,47.08277001666476,780132.074218577,0.0,inf,55,0,100.0,10,0,0,0.11865346056060976,2.442283729872551,29.30740475847061
4,v2.2,95,False,False,2009-07-16,2024-02-26,3678,100000,203990.73060451224,426425.4804481097,326425.4804481097,326.4254804481097,42.687548950190354,687701.7658481712,-231386.38233499505,2.972092648272338,577,94,85.99105812220567,7,0,0,0.08875081034478241,1.8267875129301048,21.921450155161256
5,slowly,95,False,False,2009-07-16,2024-02-26,3678,100000,218568.33679361493,394189.2287747398,294189.2287747398,294.1892287747398,21.990358340924526,380969.0725794943,-36129.99526937667,10.544398628869983,432,26,94.32314410480349,0,0,0,0.07998619596920603,1.6463825336994908,19.75659040439389
6,v1,90,False,False,2009-07-16,2024-02-26,3678,100000,293548.23732413934,523132.80684127496,423132.80684127496,423.13280684127494,47.08800878151918,758883.5853134813,0.0,inf,55,0,100.0,10,0,0,0.11504426504656742,2.367994455541846,28.415933466502153
7,v2.2,90,False,False,2009-07-16,2024-02-26,3678,100000,200096.40152303106,418285.3715604914,318285.3715604914,318.2853715604914,42.69352700695172,678091.6701258651,-231502.3752498791,2.9290916319711466,577,96,85.73551263001485,7,0,0,0.08653762141394546,1.781232707437044,21.374792489244527
8,slowly,90,False,False,2009-07-16,2024-02-26,3678,100000,218568.33679361493,394189.2287747398,294189.2287747398,294.1892287747398,21.990358340924526,380969.0725794943,-36129.99526937667,10.544398628869983,432,26,94.32314410480349,0,0,0,0.07998619596920603,1.6463825336994908,19.75659040439389
9,v1,85,False,False,2009-07-16,2024-02-26,3678,100000,298771.3842873843,532509.8336148532,432509.8336148532,432.50983361485316,47.093302659725694,773819.4285120164,0.0,inf,54,0,100.0,10,0,0,0.11759375574085187,2.4204714723325345,29.04565766799041
10,v2.2,85,False,False,2009-07-16,2024-02-26,3678,100000,199573.1054386493,417183.1055025455,317183.1055025455,317.1831055025455,42.687875250692606,676055.5664021374,-230913.91435159266,2.927738539708638,575,96,85.6929955290611,7,0,0,0.08623792971792972,1.77506405336072,21.30076864032864
